Date,GLD,IEF,IWM,QQQ,SHY,SPY,TLT
2017-05-09,116.05000305175781,85.95295715332031,123.54619598388672,130.1903076171875,70.04413604736328,207.62718200683594,94.01686096191406
2017-05-10,116.04000091552734,85.92041015625,124.31417846679688,130.26559448242188,70.06069946289062,208.00009155273438,93.90773010253906
2017-05-11,116.5,85.9854965209961,123.44794464111328,130.16209411621094,70.06902313232422,207.57518005371094,93.90773010253906
2017-05-12,116.83000183105469,86.42499542236328,122.79605865478516,130.45387268066406,70.15201568603516,207.22830200195312,94.6170425415039
2017-05-15,117.13999938964844,86.36800384521484,123.7515869140625,130.86798095703125,70.14371490478516,208.37298583984375,94.35979461669922
2017-05-16,117.6500015258789,86.48199462890625,123.79621887207031,131.41392517089844,70.14371490478516,208.1821746826172,94.71057891845703
2017-05-17,119.79000091552734,87.17375183105469,120.45639038085938,128.07252502441406,70.21837615966797,204.48817443847656,96.09017944335938
2017-05-18,118.80999755859375,87.14934539794922,120.89398956298828,129.19259643554688,70.18521118164062,205.31195068359375,96.19930267333984
2017-05-19,119.4000015258789,87.12493896484375,121.47441101074219,129.7384796142578,70.2018051147461,206.6473388671875,96.42533111572266
2017-05-22,119.9000015258789,87.02727508544922,122.29595947265625,130.8303680419922,70.17691040039062,207.69656372070312,96.16033172607422
2017-05-23,119.13999938964844,86.79936981201172,122.69782257080078,130.962158203125,70.15201568603516,208.15614318847656,95.51337432861328
2017-05-24,119.61000061035156,86.9784164428711,122.7782211303711,131.5644989013672,70.1935043334961,208.64173889160156,96.05123138427734
2017-05-25,119.4800033569336,87.02727508544922,122.85855102539062,132.68460083007812,70.1935043334961,209.63893127441406,96.08242797851562
2017-05-26,120.54000091552734,87.08423614501953,122.82283020019531,132.91993713378906,70.18521118164062,209.5956268310547,96.24606323242188
2017-05-30,120.13999938964844,87.30400848388672,121.85840606689453,133.03286743164062,70.21012878417969,209.41351318359375,96.7215576171875
2017-05-31,120.62000274658203,87.34468841552734,121.73338317871094,132.98577880859375,70.21837615966797,209.3614501953125,96.96317291259766
2017-06-01,120.72000122070312,87.29903411865234,124.08196258544922,133.50341796875,70.20512390136719,211.02635192871094,96.97332000732422
2017-06-02,121.61000061035156,87.68209838867188,124.88568878173828,135.02821350097656,70.25492858886719,211.72877502441406,98.12152099609375
2017-06-05,121.7300033569336,87.5354232788086,124.10875701904297,135.0000457763672,70.19680786132812,211.5727081298828,97.51225280761719
2017-06-06,123.0999984741211,87.81253051757812,123.9926528930664,134.46348571777344,70.22171020507812,210.8962860107422,98.04341125488281
2017-06-07,122.44999694824219,87.6495132446289,124.10875701904297,134.99061584472656,70.19680786132812,211.28651428222656,97.57479858398438
2017-06-08,121.6500015258789,87.5109634399414,125.80545806884766,135.1317901611328,70.1801986694336,211.39059448242188,97.31700134277344
2017-06-09,120.54000091552734,87.4294662475586,126.45731353759766,131.75277709960938,70.15528869628906,211.06971740722656,97.16860961914062
2017-06-12,120.36000061035156,87.41311645507812,126.25199890136719,131.04684448242188,70.14697265625,211.02635192871094,97.13738250732422
2017-06-13,120.4800033569336,87.44573211669922,126.89488983154297,132.11041259765625,70.14697265625,212.05825805664062,97.1529769897461
2017-06-14,119.81999969482422,87.90220642089844,126.14478302001953,131.53628540039062,70.1801986694336,211.7894744873047,98.6527099609375
2017-06-15,119.31999969482422,87.7473373413086,125.5018310546875,130.95274353027344,70.15528869628906,211.38189697265625,98.4964599609375
2017-06-16,119.33999633789062,87.79622650146484,125.18927764892578,130.3845672607422,70.18849182128906,211.42808532714844,98.69173431396484
2017-06-19,118.43000030517578,87.55170440673828,126.11798858642578,132.56472778320312,70.14697265625,213.1882781982422,98.55113983154297
2017-06-20,118.18000030517578,87.77179718017578,124.841064453125,131.52650451660156,70.15528869628906,211.75047302246094,99.43380737304688
2017-06-21,118.5199966430664,87.76362609863281,124.52847290039062,132.82901000976562,70.16358184814453,211.69822692871094,99.63684844970703
